INSERT INTO `tbl_producto` (`id`, `nombre`, `precio`, `imagen`, `cantidad`, `newPrecio`, `description`, `peso`, `img1`, `img2`, `img3`, `img4`, `created_at`, `updated_at`) VALUES
(126, 'Tuerca Mariposa', 4.30, '359826.jpg', 52, 5.00, 'producto en stock', '705', '', '', '', '', NULL, NULL),
(127, 'Tuerca Mariposa	', 3.50, '716249.jpg', 23, 3.00, 'producto en stock', '23', '', '', '', '', NULL, NULL),
(128, 'Tuerca', 0.40, '363888.jpg', 34, 23.00, 'producto en stock', '343', '', '', '', '', NULL, NULL),
(129, 'Tuerca	', 2.00, '695580.jpg', 23, 21.00, 'producto en stock', '324', '', '', '', '', NULL, NULL),
(130, 'Tuerca	', 2.20, '71520.jpg', 43, 43.00, 'producto en stock', '4352', '', '', '', '', NULL, NULL),
(131, 'Tuerca Hexagonal Caja', 75.30, '109130.jpg', 23, 32.00, 'producto en stock', '23', '', '', '', '', NULL, NULL),
(132, 'Tuerca', 0.20, '951348.jpg', 239, 0.10, 'producto en stock', '20', '', '', '', '', NULL, NULL),
(133, 'Tuerca ', 0.20, '467946.jpg', 323, 2.00, 'producto en stock', '234', '', '', '', '', NULL, NULL),
(134, 'Cinta', 7.30, '55469.jpg', 34, 7.10, 'producto en stock', '453', '', '', '', '', NULL, NULL),
(135, 'Cinta Adhesiva', 9.00, '346772.jpg', 89, 10.00, 'cinta para unir materiales fuertes de construccion', '429', '', '', '', '', NULL, NULL),
(138, 'Niple de bronce 1 x 1 1/2', 4.00, '122560.jpg', 84, 4.00, 'Productos en stock.', '40', '936916.jpg', '', '', '', NULL, NULL),
(139, 'Niple de Bronce 1/2 x 2', 9.00, '917957.jpg', 93, 9.00, 'Productos en stock.', '80', '103020.jpg', '', '', '', NULL, NULL),
(140, 'Niple de Bronce 1/2 x 3', 12.00, '456872.jpg', 83, 11.00, 'Productos en stock.', '100', '623418.jpg', '', '', '', NULL, NULL),
(141, 'Unión Hexagonal Bronce con Rosca 1/2', 9.00, '715120.jpg', 68, 7.00, 'Productos en stock.', '69', '998164.jpg', '', '', '', NULL, NULL),
(142, 'Niple de Bronce 1/2 x 1', 4.30, '240187.jpg', 130, 4.00, 'Productos en stock.', '40', '850804.jpg', '', '', '', NULL, NULL),
(143, 'Unión Hembra 1/2 x 3/8 NPT', 9.00, '109857.jpg', 45, 9.00, 'Productos en stock.', '50', '912670.jpg', '', '', '', NULL, NULL),
(144, 'Unión Macho 1/2 x 3/8', 12.00, '776939.jpg', 43, 10.00, 'Productos en stock.', '44', '163044.jpg', '', '', '', NULL, NULL),
(145, 'Unión Simple Galvanizado 3/4', 6.00, '622118.jpg', 58, 6.00, 'Productos en stock.', '40', '380915.jpg', '', '', '', NULL, NULL),
(146, 'Bushing Galvanizado 1 x 3/4', 7.60, '438988.jpg', 68, 7.00, 'Productos en stock.', '30', '837523.jpg', '', '', '', NULL, NULL),
(147, 'Reducción Campana Galvanizado 3/4 x 1/2', 4.00, '240544.jpg', 44, 4.00, 'Productos en stock.', '60', '307071.jpg', '', '', '', NULL, NULL),
(148, 'Unión Universal Galvanizado 1', 20.00, '56833.jpg', 42, 18.00, 'Productos en stock.', '120', '954183.jpg', '', '', '', NULL, NULL),
(149, 'Unión Universal Galvanizado 1 1/2', 40.00, '102827.jpg', 31, 38.00, 'Productos en stock.', '320', '727815.jpg', '', '', '', NULL, NULL),
(150, 'Unión Universal Galvanizado 2', 73.00, '87375.jpg', 30, 60.00, 'Productos en stock.', '521', '617036.jpg', '', '', '', NULL, NULL),
(151, 'Unión Universal Galvanizado 1 1/4', 30.00, '576658.jpg', 35, 31.00, 'Productos en stock.', '203', '609329.jpg', '', '', '', NULL, NULL),
(152, 'Valvula De Cisterna Sin Boya De 3/4', 42.00, '821245.jpg', 25, 40.00, 'Productos en stock.', '420', '432082.jpg', '', '', '', NULL, NULL),
(153, 'Valvula De Cisterna Sin Boya De 1', 47.00, '557328.jpg', 24, 45.00, 'Productos en stock.', '520', '47703.jpg', '', '', '', NULL, NULL),
(154, 'Valvula Cisterna de bronce con varilla y boya', 43.00, '640199.jpg', 20, 39.00, 'Productos en stock.', '302', '735660.jpg', '', '', '', NULL, NULL),
(155, 'Válvula de Paso Esférica para Gas 3/8', 38.00, '853491.jpg', 20, 32.00, 'Productos en stock.', '82', '497048.jpg', '', '', '', NULL, NULL),
(156, 'Válvula Cisterna 3/4 Bronce', 38.00, '690624.jpg', 21, 34.00, 'Productos en stock.', '43', '400373.jpg', '', '', '', NULL, NULL),
(157, 'Niple de Bronce 1/2 x 3', 12.00, '305919.jpg', 27, 10.00, 'Productos en stock.', '42', '98455.jpg', '', '', '', NULL, NULL),
(158, 'Tapón Macho Galvanizado 1 1/2', 5.00, '1313.jpg', 60, 4.00, 'Productos en stock.', '53', '605657.jpg', '', '', '', NULL, NULL),
(159, 'Pegamento PVC 32 oz Naranja', 14.00, '550425.jpg', 58, 8.00, 'Productos en stock.', '120', '309603.jpg', '', '', '', NULL, NULL),
(160, 'Cinta Teflón Rojo 19 mm 30 Unidades', 28.00, '509989.jpg', 794, 26.00, 'Productos en stock.', '10', '907015.jpg', '', '', '', NULL, NULL),
(162, 'Válvula compuerta 250lbs 3/4', 9.00, '669800.jpg', 62, 8.00, 'Productos en stock.', '902', '224469.jpg', '', '', '', NULL, NULL),
(163, 'Válvula corte telescópico 1/2', 46.00, '373757.jpg', 34, 43.00, 'Productos en stock.', '46', '633212.jpg', '', '', '', NULL, NULL),
(164, 'Pegamento PVC 16 OZ Dorado Regular.', 34.00, '447830.jpg', 59, 32.00, 'Productos en stock.', '1402', '917758.jpg', '', '', '', NULL, NULL),
(165, 'Válvula Esférica 1', 50.00, '292135.jpg', 42, 46.00, 'Productos en stock.', '1203', '458459.jpg', '', '', '', NULL, NULL),
(166, 'Unión Simple 1/2 Bronce', 4.00, '393896.jpg', 302, 3.00, 'Productos en stock.', '40', '91050.jpg', '', '', '', NULL, NULL),
(167, 'Niple de Fierro Galvanizado 1 x 2', 5.00, '866892.jpg', 203, 5.00, 'Productos en stock.', '230', '972612.jpg', '', '', '', NULL, NULL),
(168, 'Niple 3/4 x1m', 3.50, '809997.jpg', 523, 2.50, 'Productos en stock.', '30', '401636.jpg', '', '', '', NULL, NULL),
(169, 'Niple PVC c/r 1/2', 1.20, '367194.jpg', 823, 1.00, 'Productos en stock.', '8', '135307.jpg', '', '', '', NULL, NULL),
(170, 'Válvula Esférica de PVC Roscada 1/2', 10.00, '940329.jpg', 92, 9.00, 'Productos en stock.', '302', '41260.jpg', '', '', '', NULL, NULL),
(171, 'Válvula para Tubo de Abasto 1/2', 23.00, '514070.jpeg', 48, 21.00, 'Productos en stock.', '180', '953615.jpeg', '', '', '', NULL, NULL),
(172, 'Multiconector con Válvula', 30.00, '619297.jpeg', 23, 29.00, 'Productos en stock.', '200', '12536.jpeg', '', '', '', NULL, NULL),
(173, 'Válvula Desviadora de Bronce Cromado', 56.00, '904660.jpeg', 43, 53.00, 'Productos en stock.', '130', '240747.jpeg', '', '', '', NULL, NULL),
(174, 'Válvula de Descarga Dual 3', 28.00, '682350.jpeg', 19, 26.00, 'Productos en stock.', '200', '307841.jpeg', '', '', '', NULL, NULL),
(175, 'Válvula Bola 1/2', 18.00, '681273.jpeg', 54, 15.00, 'Productos en stock.', '250', '4114.jpeg', '', '', '', NULL, NULL),
(176, ' LORENZETTI Ducha eléctrica instantánea Maxi Shower 5500W', 70.00, '200061.jpeg', 83, 62.00, 'Productos en stock.', '230', '239552.jpeg', '', '', '', NULL, NULL),
(177, 'Metusa Manguera Drenaje para Lavadora 2m', 35.00, '912474.jpg', 25, 32.00, 'Productos en stock.', '300', '15562.jpg', '', '', '', NULL, NULL),
(178, 'Metusa Manguera Drenaje para Lavadora 2m', 35.00, '300327.jpg', 25, 32.00, 'Productos en stock.', '300', '533877.jpg', '', '', '', NULL, NULL),
(179, 'Urinario Ovalado Entrada Posterior', 1299.00, '224854.jpg', 43, 1129.00, 'Productos en stock.', '1930', '635325.jpg', '', '', '', NULL, NULL),
(180, 'Inodoro 2 Piezas New Drake', 1799.00, '887117.jpg', 29, 1699.00, 'Productos en stock.', '6500', '283803.jpg', '', '', '', NULL, NULL),
(181, 'Sumidero bronde cromado 4', 70.90, '267486.jpg', 42, 63.00, 'Productos en stock.', '424', '624491.jpg', '', '', '', NULL, NULL),
(182, 'Sumidero cuadrado de acero inoxidable 4', 132.90, '107331.jpg', 26, 98.90, 'Productos en stock.', '345', '732920.jpg', '', '', '', NULL, NULL),
(183, 'Sumidero 2 bronce pesado', 9.90, '546441.jpg', 53, 7.99, 'Productos en stock.', '234', '223303.jpg', '', '', '', NULL, NULL),
(184, 'Sumidero 2', 11.90, '482997.jpg', 32, 10.00, 'Productos en stock.', '201', '47971.jpg', '', '', '', NULL, NULL),
(185, 'Sumidero bronde cromado 2', 27.90, '582165.jpg', 24, 24.90, 'Productos en stock.', '234', '748283.jpg', '', '', '', NULL, NULL),
(186, 'Sumidero cuadrado de acero inoxidable 2', 84.90, '686973.jpg', 42, 76.90, 'Productos en stock.', '233', '268092.jpg', '', '', '', NULL, NULL),
(187, 'Sumidero cromo 3', 21.90, '161104.jpg', 43, 18.90, 'Productos en stock.', '234', '729204.jpg', '', '', '', NULL, NULL),
(188, 'Sumidero dorado 3', 18.90, '977160.jpg', 24, 17.00, 'Productos en stock.', '234', '676965.jpg', '', '', '', NULL, NULL),
(189, 'Sumidero bronce 4', 25.90, '728735.jpg', 32, 22.00, 'Productos en stock.', '423', '914639.jpg', '', '', '', NULL, NULL),
(190, 'Sumidero cromo 6', 73.90, '521073.jpg', 32, 64.00, 'Productos en stock.', '332', '95258.jpg', '', '', '', NULL, NULL),
(191, 'Sumidero cromo 4', 39.90, '359208.jpg', 32, 32.90, 'Productos en stock.', '432', '862116.jpg', '', '', '', NULL, NULL),
(192, 'Sumidero cromo 2', 12.90, '807284.jpg', 23, 11.00, 'Productos en stock.', '123', '238618.jpg', '', '', '', NULL, NULL),
(193, 'Sumidero dorado 2', 9.90, '917670.jpg', 42, 8.00, 'Productos en stock.', '212', '511719.jpg', '', '', '', NULL, NULL),
(194, 'Sumidero especial 2 1/2', 28.90, '476888.jpg', 32, 22.90, 'Productos en stock.', '323', '159089.jpg', '', '', '', NULL, NULL),
(195, 'Registro y Sumidero 2 Cromado', 24.00, '368577.jpg', 32, 22.00, 'Productos en stock.', '432', '148012.jpg', '', '', '', NULL, NULL),
(196, 'Registro sumidero 2', 24.00, '20786.jpg', 23, 23.00, 'Productos en stock.', '234', '519516.jpg', '', '', '', NULL, NULL),
(197, 'Registro sumidero 4', 46.90, '589113.jpg', 23, 42.00, 'Productos en stock.', '532', '836221.jpg', '', '', '', NULL, NULL),
(198, 'Desagüe con Sumidero para Lavadero 1 1/4 x8mm', 52.90, '38277.jpg', 42, 48.00, 'Productos en stock.', '342', '301845.jpg', '', '', '', NULL, NULL),
(199, 'Desagüe 1 1/4 con Sumidero', 42.90, '723782.jpg', 42, 36.99, 'Productos en stock.', '234', '420711.jpg', '', '', '', NULL, NULL),
(200, 'Desagüe de Lavadero Tipo Sumidero', 15.90, '933500.jpg', 43, 12.99, 'Productos en stock.', '243', '133025.jpg', '', '', '', NULL, NULL),
(201, 'Desagüe tipo sumidero Cromado 1 1/4', 58.90, '714788.jpg', 34, 52.99, 'Producto en stock.', '422', '785023.jpg', '', '', '', NULL, NULL),
(202, 'Codo CPVC 1/2 x 45°', 1.30, '323967.jpg', 43, 1.10, 'Producto en stock.', '23', '642912.jpg', '', '', '', NULL, NULL),
(203, 'Codo 90° 1/2', 1.30, '106026.jpg', 42, 1.20, 'Producto en stock.', '23', '204656.jpg', '', '', '', NULL, NULL),
(204, 'Codo CPVC 3/4 x 45°', 3.30, '249523.jpg', 42, 3.00, 'Producto en stock.', '23', '145065.jpg', '', '', '', NULL, NULL),
(205, 'Codo CPVC 3/4 x 90°', 2.90, '3543.jpg', 43, 2.50, 'Producto en stock.', '23', '307478.jpg', '', '', '', NULL, NULL),
(206, 'Codo CPVC 1/2 x 45°', 2.50, '758557.jpg', 43, 2.20, 'Producto en stock.', '23', '798492.jpg', '', '', '', NULL, NULL),
(207, 'Codo CPVC 3/4°', 3.50, '550180.jpg', 42, 3.30, 'Producto en stock.', '23', '186110.jpg', '', '', '', NULL, NULL),
(208, 'Niple PVC con Rosca 1/2 x 4', 1.40, '224942.jpg', 98, 1.20, 'Producto en stock.', '23', '461600.jpg', '', '', '', NULL, NULL),
(209, 'Niple PVC 2 x6', 11.90, '295126.jpg', 53, 10.30, 'Producto en stock.', '23', '832835.jpg', '', '', '', NULL, NULL),
(210, 'Niple PVC 1\'\'x6\'\'', 4.40, '617642.jpg', 63, 4.20, 'Producto en stock.', '24', '89262.jpg', '', '', '', NULL, NULL),
(211, 'Niple PVC 2 x4', 5.90, '252202.jpg', 30, 4.30, 'Producto en stock.', '42', '138773.jpg', '', '', '', NULL, NULL),
(212, 'Niple PVC con Rosca 1\'\'x3\'\'', 2.90, '50557.jpg', 42, 2.50, 'Producto en stock.', '42', '275212.jpg', '', '', '', NULL, NULL),
